"https://api.test.tria.so/api/v2/auth/initiate-otp","422",""{\"message\":\"Internal Server Error\",\"success\":false}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
"https://api.test.tria.so/api/v2/auth/verify-otp","200",""{\"success\":true,\"message\":\"OTP verification succeeded\",\"accessToken\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiMTEwYTk1NDEtZDlmMi00Y2ZjLWJiMGQtNTY0ZjJlNDgyMDQzIiwiZW1haWwiOiJsb2FkMHh4MWJ3YTl4bXh0azc3OTYxOEB5b3BtYWlsLmNvbSIsImlhdCI6MTcyOTI0MjM4OCwiZXhwIjoxNzI5ODQ3MTg4fQ.DrNUHM4-UcgB91RxD7E2k3E-9o5C-p1yakHmXVTzNmc\",\"code\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiMTEwYTk1NDEtZDlmMi00Y2ZjLWJiMGQtNTY0ZjJlNDgyMDQzIiwiaWF0IjoxNzI5MjQyMzg4LCJleHAiOjE3MjkyNDI5ODh9.ZLRaE19dt4GwvK8H1JZg8ebQD-LKJtfQei5D0I1tUk0\",\"uuid\":\"110a9541-d9f2-4cfc-bb0d-564f2e482043\",\"isDIDExist\":true}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
"https://api.test.tria.so/api/v2/auth/verify-otp","200",""{\"success\":true,\"message\":\"OTP verification succeeded\",\"accessToken\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiM2ViODU4OGUtMWM0MS00M2RiLTg0M2EtMWRiMTVjMDc3YTBlIiwiZW1haWwiOiJsb2FkMHgyMWpqNnk4ZnFwMTkxNjM5QHlvcG1haWwuY29tIiwiaWF0IjoxNzI5MjQyNDIxLCJleHAiOjE3Mjk4NDcyMjF9.RRLBqkHoPnACGddJ4KqBCZuSoAOFWfL5HNjKbUaUt5U\",\"code\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiM2ViODU4OGUtMWM0MS00M2RiLTg0M2EtMWRiMTVjMDc3YTBlIiwiaWF0IjoxNzI5MjQyNDIxLCJleHAiOjE3MjkyNDMwMjF9.Aou5w72dE_JXuw47hfpJ9GzA9E64Frfebw8UPraEX1o\",\"uuid\":\"3eb8588e-1c41-43db-843a-1db15c077a0e\",\"isDIDExist\":true}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
"https://api.test.tria.so/api/v2/auth/verify-otp","200",""{\"success\":true,\"message\":\"OTP verification succeeded\",\"accessToken\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiMDAzZmZmNGEtNjYwYi00Mzg4LTkzOTMtYTU2YzEzNjkzMGQ0IiwiZW1haWwiOiJsb2FkMHhwaTJhaTU5MXB0MjgyMDkxQHlvcG1haWwuY29tIiwiaWF0IjoxNzI5MjQ0NzE0LCJleHAiOjE3Mjk4NDk1MTR9.rli_oXNoFi0V3jDIBsr3HlZ2BbqZdI6_ZJi1FXFoogE\",\"code\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiMDAzZmZmNGEtNjYwYi00Mzg4LTkzOTMtYTU2YzEzNjkzMGQ0IiwiaWF0IjoxNzI5MjQ0NzE0LCJleHAiOjE3MjkyNDUzMTR9.Yge4hTaZ3Tuy57WcfzT31VnFoS-ChwVobjwIgMoJph8\",\"uuid\":\"003fff4a-660b-4388-9393-a56c136930d4\",\"isDIDExist\":false}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
"https://api.test.tria.so/api/v2/auth/verify-otp","200",""{\"success\":true,\"message\":\"OTP verification succeeded\",\"accessToken\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiMDAzZmZmNGEtNjYwYi00Mzg4LTkzOTMtYTU2YzEzNjkzMGQ0IiwiZW1haWwiOiJsb2FkMHhwaTJhaTU5MXB0MjgyMDkxQHlvcG1haWwuY29tIiwiaWF0IjoxNzI5MjQ0OTIwLCJleHAiOjE3Mjk4NDk3MjB9.u7t5Xr5a-0Uoe6-oxozyWevlyK2QN0McnhOb3bPiulQ\",\"code\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1dWlkIjoiMDAzZmZmNGEtNjYwYi00Mzg4LTkzOTMtYTU2YzEzNjkzMGQ0IiwiaWF0IjoxNzI5MjQ0OTIwLCJleHAiOjE3MjkyNDU1MjB9.6siu52sgMpPpKzrePYThSHpRR1YR27r8gn8nB6E6Da8\",\"uuid\":\"003fff4a-660b-4388-9393-a56c136930d4\",\"isDIDExist\":false}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
"https://api.test.tria.so/api/v2/auth/initiate-otp","200",""{\"success\":true,\"message\":\"OTP sent to Email\"}""
